Serial No.,Student ID,Credits,CGPA,Course Difficulty,PASS/FAIL
300,300,3,9,6.0,0
301,301,1,10,-2.0,1
302,302,3,3,4.5,0
303,303,5,5,3.5,1
304,304,3,8,4.5,1
305,305,2,8,3.5,1
306,306,5,9,3.5,1
307,307,5,2,3.5,0
308,308,1,3,4.0,0
309,309,4,8,4.0,1
310,310,3,2,6.0,0
311,311,1,4,2.5,1
312,312,2,10,2.0,1
313,313,1,5,2.5,1
314,314,2,1,3.5,0
315,315,1,9,2.5,1
316,316,4,3,5.5,0
317,317,2,2,0.5,1
318,318,3,8,1.5,1
319,319,3,1,1.5,0
320,320,4,10,4.0,1
321,321,5,10,3.5,1
322,322,1,5,-0.5,1
323,323,2,1,0.5,1
324,324,2,4,2.0,1
325,325,3,8,0.0,1
326,326,3,2,4.5,0
327,327,2,2,2.0,0
328,328,3,0,3.0,0
329,329,4,9,4.0,1
330,330,5,1,6.5,0
331,331,3,6,3.0,1
332,332,3,4,6.0,0
333,333,3,5,1.5,1
334,334,3,7,0.0,1
335,335,5,1,5.0,0
336,336,5,4,5.0,0
337,337,3,8,3.0,1
338,338,1,10,-0.5,1
339,339,1,10,1.0,1
340,340,3,3,0.0,1
341,341,2,7,0.5,1
342,342,4,3,2.5,0
343,343,2,0,3.5,0
344,344,5,0,6.5,0
345,345,3,4,1.5,1
346,346,4,6,4.0,0
347,347,1,2,1.0,1
348,348,1,2,-2.0,1
349,349,4,1,4.0,0
350,350,4,1,2.5,0
351,351,3,1,1.5,0
352,352,4,9,4.0,1
353,353,4,1,2.5,0
354,354,3,0,1.5,0
355,355,2,3,3.5,0
356,356,5,4,5.0,0
357,357,5,4,3.5,0
358,358,5,9,6.5,0
359,359,1,4,2.5,1
360,360,3,1,6.0,0
361,361,2,8,3.5,1
362,362,3,3,4.5,0
363,363,3,2,4.5,0
364,364,3,5,4.5,0
365,365,2,1,3.5,0
366,366,4,10,4.0,1
367,367,1,6,1.0,1
368,368,1,2,2.5,1
369,369,5,5,5.0,0
370,370,4,9,1.0,1
371,371,4,3,2.5,0
372,372,5,8,5.0,1
373,373,1,7,-2.0,1
374,374,1,1,-0.5,1
375,375,1,3,-2.0,1
376,376,3,4,4.5,0
377,377,3,3,1.5,1
378,378,2,3,3.5,0
379,379,3,2,4.5,0
380,380,4,4,2.5,1
381,381,1,6,-0.5,1
382,382,4,3,4.0,0
383,383,5,8,8.0,0
384,384,2,1,2.0,1
385,385,1,5,1.0,1
386,386,3,4,3.0,1
387,387,2,2,3.5,0
388,388,5,0,5.0,0
389,389,4,3,2.5,1
390,390,2,6,0.5,1
391,391,3,7,0.0,1
392,392,1,6,4.0,0
393,393,5,8,3.5,1
394,394,5,9,2.0,1
395,395,2,8,3.5,1
396,396,1,1,-0.5,1
397,397,3,2,6.0,0
398,398,3,7,4.5,0
399,399,1,3,1.0,1
400,400,4,3,5.5,0
401,401,4,3,5.5,0
402,402,1,6,-0.5,1
403,403,5,10,3.5,1
404,404,4,4,7.0,0
405,405,2,8,2.0,1
406,406,4,6,2.5,1
407,407,5,7,2.0,1
408,408,2,10,3.5,1
409,409,4,2,2.5,0
410,410,4,2,5.5,0
411,411,4,10,4.0,1
412,412,3,1,3.0,0
413,413,2,1,0.5,1
414,414,2,6,2.0,1
415,415,3,5,6.0,0
416,416,1,4,4.0,0
417,417,1,8,2.5,1
418,418,4,0,4.0,0
419,419,3,6,3.0,1
420,420,5,10,6.5,0
421,421,4,1,4.0,0
422,422,5,5,5.0,0
423,423,5,8,8.0,0
424,424,5,2,5.0,0
425,425,5,0,6.5,0
426,426,1,10,1.0,1
427,427,5,8,6.5,0
428,428,3,8,1.5,1
429,429,4,10,1.0,1
430,430,5,5,3.5,0
431,431,3,1,6.0,0
432,432,4,6,2.5,1
433,433,5,10,5.0,1
434,434,1,1,-2.0,1
435,435,2,3,0.5,1
436,436,1,10,1.0,1
437,437,3,8,1.5,1
438,438,3,0,4.5,0
439,439,5,10,2.0,1
440,440,5,10,6.5,1
441,441,1,10,-0.5,1
442,442,3,4,3.0,1
443,443,3,1,3.0,0
444,444,5,9,5.0,0
445,445,5,3,8.0,0
446,446,3,1,1.5,0
447,447,5,3,3.5,0
448,448,2,1,5.0,0
449,449,5,10,5.0,1
450,450,3,6,4.5,0
451,451,2,4,-1.0,1
452,452,4,1,5.5,0
453,453,2,0,3.5,0
454,454,5,2,5.0,0
455,455,3,10,4.5,1
456,456,4,6,5.5,0
457,457,5,5,5.0,0
458,458,5,9,6.5,0
459,459,3,8,0.0,1
460,460,2,4,-1.0,1
461,461,3,3,3.0,0
462,462,5,3,5.0,0
463,463,3,9,6.0,0
464,464,4,2,5.5,0
465,465,2,2,2.0,0
466,466,2,8,-1.0,1
467,467,5,0,2.0,0
468,468,2,6,3.5,1
469,469,5,6,8.0,0
470,470,1,3,1.0,1
471,471,3,4,3.0,1
472,472,4,4,7.0,0
473,473,2,8,0.5,1
474,474,3,1,3.0,0
475,475,4,2,5.5,0
476,476,4,2,4.0,0
477,477,4,1,5.5,0
478,478,2,1,3.5,0
479,479,2,2,0.5,1
480,480,2,0,0.5,0
481,481,4,7,4.0,1
482,482,3,10,1.5,1
483,483,4,6,7.0,0
484,484,3,4,3.0,0
485,485,3,7,0.0,1
486,486,1,5,-0.5,1
487,487,3,4,1.5,1
488,488,3,4,3.0,1
489,489,5,4,6.5,0
490,490,2,6,2.0,1
491,491,2,3,-1.0,1
492,492,1,6,1.0,1
493,493,3,1,3.0,0
494,494,3,10,4.5,1
495,495,1,1,2.5,0
496,496,5,0,6.5,0
497,497,3,1,1.5,1
498,498,5,7,2.0,1
499,499,3,4,1.5,1
500,500,5,3,8.0,0
501,501,5,8,3.5,1
502,502,4,7,4.0,0
503,503,3,8,4.5,1
504,504,2,5,-1.0,1
505,505,2,6,5.0,0
506,506,1,3,2.5,0
507,507,3,2,3.0,0
508,508,4,5,4.0,0
509,509,2,3,2.0,0
510,510,4,7,7.0,0
511,511,5,2,5.0,0
512,512,4,6,5.5,0
513,513,2,7,2.0,1
514,514,2,6,5.0,0
515,515,2,4,2.0,1
516,516,2,5,2.0,1
517,517,4,2,2.5,1
518,518,2,1,5.0,0
519,519,5,3,6.5,0
520,520,4,2,5.5,0
521,521,1,4,-2.0,1
522,522,5,3,8.0,0
523,523,1,8,2.5,1
524,524,1,10,1.0,1
525,525,1,2,1.0,1
526,526,4,2,4.0,0
527,527,5,6,5.0,0
528,528,2,3,5.0,0
529,529,3,3,4.5,0
530,530,2,8,5.0,1
531,531,3,8,1.5,1
532,532,5,5,3.5,0
533,533,2,7,5.0,1
534,534,1,10,2.5,1
535,535,3,7,3.0,1
536,536,5,8,5.0,0
537,537,2,4,0.5,1
538,538,5,1,6.5,0
539,539,5,6,6.5,0
540,540,5,4,8.0,0
541,541,5,10,3.5,1
542,542,5,0,5.0,0
543,543,4,9,5.5,1
544,544,4,8,2.5,1
545,545,2,4,3.5,1
546,546,2,6,-1.0,1
547,547,3,2,3.0,0
548,548,5,7,5.0,1
549,549,1,6,1.0,1
550,550,1,3,4.0,0
551,551,5,0,3.5,0
552,552,3,5,1.5,1
553,553,1,1,1.0,0
554,554,1,5,-0.5,1
555,555,5,3,5.0,0
556,556,2,8,3.5,1
557,557,3,7,3.0,1
558,558,1,1,2.5,0
559,559,3,5,1.5,1
560,560,5,5,2.0,1
561,561,1,9,4.0,1
562,562,3,9,3.0,1
563,563,4,8,2.5,1
564,564,2,4,3.5,0
565,565,1,9,1.0,1
566,566,5,5,5.0,0
567,567,1,2,2.5,1
568,568,4,4,7.0,0
569,569,2,3,2.0,1
570,570,3,5,4.5,0
571,571,3,4,3.0,0
572,572,2,10,3.5,1
573,573,4,3,5.5,0
574,574,2,1,3.5,0
575,575,1,8,-2.0,1
576,576,1,0,2.5,0
577,577,1,4,1.0,1
578,578,4,2,5.5,0
579,579,1,10,1.0,1
580,580,5,9,5.0,0
581,581,4,0,5.5,0
582,582,5,5,2.0,1
583,583,3,7,1.5,1
584,584,1,4,-2.0,1
585,585,2,10,2.0,1
586,586,3,3,3.0,0
587,587,4,9,1.0,1
588,588,1,1,1.0,1
589,589,1,4,4.0,0
590,590,2,2,3.5,0
591,591,1,8,4.0,1
592,592,3,6,3.0,1
593,593,2,8,2.0,1
594,594,4,0,4.0,0
595,595,2,4,5.0,0
596,596,1,1,2.5,0
597,597,2,5,2.0,1
598,598,3,7,0.0,1
599,599,5,4,6.5,0
600,600,3,1,3.0,0
601,601,2,2,3.5,0
602,602,2,7,5.0,0
603,603,2,8,-1.0,1
604,604,5,1,3.5,0
605,605,5,1,5.0,0
606,606,2,4,2.0,1
607,607,5,2,5.0,0
608,608,2,8,2.0,1
609,609,3,1,3.0,0
610,610,2,2,0.5,1
611,611,1,5,1.0,1
612,612,1,7,-0.5,1
613,613,2,10,0.5,1
614,614,2,3,3.5,0
615,615,2,3,2.0,1
616,616,1,2,2.5,0
617,617,5,4,6.5,0
618,618,2,3,0.5,1
619,619,2,0,2.0,0
620,620,5,1,5.0,0
621,621,2,6,2.0,1
622,622,5,5,3.5,0
623,623,2,9,3.5,1
624,624,5,2,2.0,1
625,625,1,1,1.0,0
626,626,3,3,3.0,1
627,627,3,0,3.0,0
628,628,5,10,2.0,1
629,629,2,3,2.0,1
630,630,4,2,4.0,0
631,631,2,1,0.5,1
632,632,4,1,2.5,0
633,633,1,1,1.0,0
634,634,1,7,-2.0,1
635,635,2,4,2.0,1
636,636,4,0,2.5,0
637,637,4,1,7.0,0
638,638,3,5,4.5,0
639,639,1,0,1.0,1
640,640,1,6,-0.5,1
641,641,3,10,3.0,1
642,642,3,4,0.0,1
643,643,1,2,4.0,0
644,644,3,9,3.0,1
645,645,3,10,4.5,1
646,646,2,10,3.5,1
647,647,1,6,4.0,0
648,648,5,1,8.0,0
649,649,4,1,5.5,0
650,650,5,2,6.5,0
651,651,1,10,-0.5,1
652,652,3,4,1.5,1
653,653,4,0,4.0,0
654,654,1,8,-2.0,1
655,655,1,5,2.5,1
656,656,4,5,4.0,0
657,657,5,4,5.0,0
658,658,2,8,0.5,1
659,659,5,1,5.0,0
660,660,1,10,2.5,1
661,661,1,1,1.0,1
662,662,5,9,5.0,0
663,663,2,8,0.5,1
664,664,5,7,5.0,1
665,665,4,2,7.0,0
666,666,1,5,1.0,1
667,667,2,3,-1.0,1
668,668,3,2,4.5,0
669,669,2,5,2.0,1
670,670,3,3,4.5,0
671,671,2,4,-1.0,1
672,672,3,8,3.0,1
673,673,2,0,3.5,0
674,674,3,6,3.0,1
675,675,4,9,2.5,1
676,676,5,0,8.0,0
677,677,2,3,5.0,0
678,678,1,10,2.5,1
679,679,3,9,3.0,1
680,680,2,7,5.0,0
681,681,3,6,4.5,0
682,682,3,1,4.5,0
683,683,3,6,4.5,1
684,684,3,3,3.0,1
685,685,2,9,3.5,1
686,686,5,4,5.0,0
687,687,4,9,4.0,1
688,688,2,1,5.0,0
689,689,3,9,6.0,0
690,690,2,5,2.0,1
691,691,2,6,3.5,0
692,692,1,7,1.0,1
693,693,5,5,6.5,0
694,694,3,0,3.0,0
695,695,2,2,2.0,0
696,696,4,4,1.0,1
697,697,3,1,3.0,0
698,698,5,7,6.5,0
699,699,3,3,1.5,1
700,700,4,3,2.5,0
701,701,2,2,3.5,0
702,702,5,3,6.5,0
703,703,4,7,5.5,0
704,704,4,1,4.0,0
705,705,1,4,2.5,1
706,706,1,0,1.0,1
707,707,2,2,2.0,0
708,708,1,6,2.5,1
709,709,4,0,5.5,0
710,710,5,6,5.0,0
711,711,2,8,5.0,1
712,712,3,5,1.5,1
713,713,4,0,4.0,0
714,714,4,8,4.0,1
715,715,5,10,2.0,1
716,716,4,1,5.5,0
717,717,3,2,1.5,0
718,718,5,10,3.5,1
719,719,3,2,4.5,0
720,720,1,8,-2.0,1
721,721,4,3,5.5,0
722,722,2,7,0.5,1
723,723,2,2,2.0,1
724,724,3,8,6.0,0
725,725,4,7,4.0,1
726,726,4,9,5.5,0
727,727,5,6,3.5,1
728,728,4,2,4.0,0
729,729,3,2,6.0,0
730,730,3,2,1.5,1
731,731,5,0,8.0,0
732,732,2,2,0.5,1
733,733,5,1,2.0,0
734,734,1,10,-0.5,1
735,735,2,10,2.0,1
736,736,5,1,8.0,0
737,737,4,1,4.0,0
738,738,3,0,3.0,0
739,739,2,1,0.5,1
740,740,4,8,4.0,1
741,741,3,2,4.5,0
742,742,5,9,5.0,0
743,743,5,5,6.5,0
744,744,4,10,4.0,1
745,745,5,7,5.0,0
746,746,4,0,1.0,0
747,747,2,8,-1.0,1
748,748,3,0,4.5,0
749,749,3,1,3.0,0
750,750,1,4,2.5,0
751,751,1,2,4.0,0
752,752,5,3,6.5,0
753,753,2,3,2.0,1
754,754,5,7,5.0,0
755,755,3,0,3.0,0
756,756,4,0,2.5,0
757,757,1,1,-0.5,1
758,758,2,6,0.5,1
759,759,1,8,4.0,1
760,760,2,8,3.5,1
761,761,2,0,0.5,1
762,762,3,9,3.0,1
763,763,5,9,2.0,1
764,764,4,8,5.5,1
765,765,2,2,3.5,0
766,766,1,6,2.5,1
767,767,5,0,5.0,0
768,768,2,10,2.0,1
769,769,5,5,2.0,1
770,770,5,0,5.0,0
771,771,3,10,1.5,1
772,772,2,4,2.0,1
773,773,1,9,2.5,1
774,774,3,6,3.0,1
775,775,1,9,1.0,1
776,776,2,6,2.0,1
777,777,5,8,5.0,1
778,778,3,1,6.0,0
779,779,5,4,3.5,0
780,780,4,6,4.0,0
781,781,2,3,0.5,1
782,782,5,10,2.0,1
783,783,1,1,2.5,0
784,784,2,1,2.0,1
785,785,1,5,1.0,1
786,786,5,3,2.0,1
787,787,1,9,-2.0,1
788,788,1,7,1.0,1
789,789,5,6,5.0,0
790,790,1,10,1.0,1
791,791,2,7,0.5,1
792,792,1,7,2.5,1
793,793,3,7,3.0,1
794,794,1,7,1.0,1
795,795,3,10,1.5,1
796,796,4,7,2.5,1
797,797,5,6,3.5,1
798,798,3,1,0.0,1
799,799,2,2,2.0,0
800,800,2,6,0.5,1
801,801,1,4,2.5,1
802,802,3,6,0.0,1
803,803,5,0,5.0,0
804,804,3,1,3.0,0
805,805,3,10,3.0,1
806,806,5,3,3.5,0
807,807,3,10,0.0,1
808,808,2,2,2.0,0
809,809,1,9,-2.0,1
810,810,5,3,3.5,0
811,811,1,3,2.5,1
812,812,2,6,2.0,1
813,813,4,8,7.0,0
814,814,1,10,-0.5,1
815,815,1,6,2.5,1
816,816,5,3,3.5,0
817,817,3,0,3.0,0
818,818,1,5,1.0,1
819,819,2,3,2.0,0
820,820,2,6,0.5,1
821,821,3,4,4.5,0
822,822,3,2,4.5,0
823,823,4,8,2.5,1
824,824,2,5,0.5,1
825,825,5,2,3.5,0
826,826,4,6,4.0,1
827,827,3,7,1.5,1
828,828,5,3,3.5,0
829,829,2,6,2.0,1
830,830,2,2,-1.0,1
831,831,1,5,-0.5,1
832,832,2,0,2.0,0
833,833,1,8,2.5,1
834,834,2,8,2.0,1
835,835,4,1,1.0,0
836,836,3,8,0.0,1
837,837,3,5,1.5,1
838,838,3,7,3.0,1
839,839,2,9,2.0,1
840,840,5,6,6.5,0
841,841,5,7,6.5,0
842,842,2,9,3.5,1
843,843,1,8,1.0,1
844,844,3,1,6.0,0
845,845,5,2,2.0,0
846,846,1,10,-0.5,1
847,847,3,6,4.5,0
848,848,1,8,4.0,1
849,849,4,7,2.5,1
850,850,2,0,2.0,0
851,851,4,5,1.0,1
852,852,1,1,-2.0,1
853,853,2,1,2.0,0
854,854,1,0,2.5,0
855,855,3,8,4.5,1
856,856,4,4,2.5,1
857,857,5,4,5.0,0
858,858,2,3,-1.0,1
859,859,3,5,1.5,1
860,860,2,9,2.0,1
861,861,3,7,1.5,1
862,862,4,1,5.5,0
863,863,1,2,2.5,0
864,864,3,2,4.5,0
865,865,1,9,1.0,1
866,866,2,7,3.5,1
867,867,1,5,2.5,1
868,868,5,2,2.0,1
869,869,5,7,8.0,0
870,870,4,3,4.0,0
871,871,2,5,0.5,1
872,872,5,10,6.5,0
873,873,5,4,3.5,1
874,874,3,4,1.5,1
875,875,5,1,6.5,0
876,876,5,4,6.5,0
877,877,2,0,3.5,0
878,878,3,9,3.0,1
879,879,2,3,3.5,0
880,880,3,6,3.0,1
881,881,4,5,2.5,1
882,882,2,9,0.5,1
883,883,1,6,-2.0,1
884,884,4,0,2.5,0
885,885,3,6,3.0,1
886,886,3,4,3.0,0
887,887,2,7,0.5,1
888,888,4,9,5.5,1
889,889,1,1,2.5,0
890,890,2,0,3.5,0
891,891,2,5,2.0,1
892,892,4,7,7.0,0
893,893,4,0,5.5,0
894,894,2,2,5.0,0
895,895,4,8,2.5,1
896,896,5,8,2.0,1
897,897,1,3,1.0,1
898,898,1,9,4.0,1
899,899,4,6,5.5,0
900,900,1,9,4.0,1
901,901,2,7,0.5,1
902,902,1,6,2.5,1
903,903,4,7,2.5,1
904,904,1,7,1.0,1
905,905,5,2,6.5,0
906,906,5,8,3.5,1
907,907,4,4,4.0,0
908,908,4,6,7.0,0
909,909,2,0,-1.0,1
910,910,3,5,0.0,1
911,911,2,1,3.5,0
912,912,5,4,8.0,0
913,913,1,8,1.0,1
914,914,1,10,1.0,1
915,915,1,4,1.0,1
916,916,4,5,4.0,1
917,917,4,6,4.0,0
918,918,3,4,1.5,1
919,919,3,9,3.0,1
920,920,4,1,2.5,0
921,921,2,5,0.5,1
922,922,5,2,2.0,1
923,923,3,8,3.0,1
924,924,5,5,6.5,0
925,925,3,3,3.0,0
926,926,2,5,2.0,1
927,927,3,4,1.5,1
928,928,3,4,3.0,1
929,929,5,3,6.5,0
930,930,3,9,1.5,1
931,931,5,1,2.0,0
932,932,3,10,3.0,1
933,933,1,0,4.0,0
934,934,5,8,6.5,0
935,935,2,4,0.5,1
936,936,1,5,2.5,1
937,937,4,8,5.5,1
938,938,1,7,-2.0,1
939,939,2,10,2.0,1
940,940,1,8,2.5,1
941,941,1,6,-2.0,1
942,942,4,8,2.5,1
943,943,1,1,4.0,0
944,944,2,8,3.5,1
945,945,4,9,5.5,1
946,946,5,5,3.5,0
947,947,1,1,-0.5,1
948,948,1,1,4.0,0
949,949,5,6,2.0,1
950,950,4,6,2.5,1
951,951,5,10,5.0,1
952,952,3,6,0.0,1
953,953,3,7,3.0,1
954,954,3,2,4.5,0
955,955,4,4,1.0,1
956,956,5,10,5.0,1
957,957,5,7,8.0,0
958,958,2,4,0.5,1
959,959,5,8,2.0,1
960,960,5,5,8.0,0
961,961,5,3,5.0,0
962,962,1,6,4.0,0
963,963,3,3,1.5,1
964,964,4,5,7.0,0
965,965,3,4,4.5,0
966,966,2,9,0.5,1
967,967,1,8,4.0,1
968,968,4,9,4.0,1
969,969,4,4,5.5,0
970,970,1,6,4.0,1
971,971,5,0,5.0,0
972,972,5,1,3.5,0
973,973,2,10,2.0,1
974,974,4,8,7.0,0
975,975,4,9,4.0,1
976,976,5,2,3.5,0
977,977,5,8,5.0,0
978,978,1,8,-2.0,1
979,979,4,2,5.5,0
980,980,3,5,3.0,1
981,981,2,10,2.0,1
982,982,1,10,2.5,1
983,983,1,7,1.0,1
984,984,2,6,2.0,1
985,985,4,8,4.0,1
986,986,2,9,-1.0,1
987,987,4,4,2.5,1
988,988,4,4,2.5,1
989,989,5,6,6.5,0
